lip,mouth,face,hand,neck,arm,leg,foot,head,body,cheek,jaw,fingertip,eye,eyebrow,throat,chin,forehead,knee,thigh,shoulder,belly,stomach,tooth,muscle,palm,chest,toe,tongue,palm,eyelid,brow
1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,
1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,
1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,
1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,
1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,
1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,
1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,
1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,
1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
1.0,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
1.0,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
