dependency,frequency,norm,samples
( NN cop VB ) ( NN compound NN ),11.0,0.0126436781609,"Be a ballpark figure

Be a carbon copy

Be a class act

Be a conversation piece

Be a couch potato

Be a guinea pig

Be a household name

Be a party pooper

Be a powder keg

Be cannon fodder

Be no spring chicken
"
( NN nmod:poss NN ) ( NN amod JJ ) ( NN case POS ),10.0,0.0114942528736,"Blow someone's cover

Burst someone's bubble

Catch someone's drift

Catch someone's eye

Cramp someone's style

Rattle someone's cage

Slip someone's mind

Steal someone's thunder

Twist someone's arm

Whet someone's appetite
"
( IN cop VB ) ( IN nmod NN ) ( NN case IN ),9.0,0.0103448275862,"Be out for blood

Be out like a light

Be out of bounds

Be out of line

Be out of order

Be out of the blue

Be out of the closet

Be out of the question

Be out of touch
"
( VB iobj NN ) ( VB dobj NN ),8.0,0.00919540229885,"Give someone a break

Give someone grief

Give someone the boot

Give someone the brush-off

Give someone the creeps

Give someone the run-around

Give someone the willies

Give something a whirl
"
( JJ cop VB ) ( JJ nmod NN ) ( NN case IN ),8.0,0.00919540229885,"Be big on something

Be dead in the water

Be easy on the eye

Be full of holes

Be green with envy

Be hot off the press

Be quick on the draw

Be young at heart
"
( VB iobj NN ) ( VB dobj NN ) ( NN amod JJ ),8.0,0.00919540229885,"Give someone a dirty look

Give someone a free ride

Give someone a wide berth

Give someone carte blanche

Give someone the cold shoulder

Give someone the green light

Give something a bad name

Take something the wrong way
"
( VB dobj NN ) ( NN nmod:poss NN ) ( NN case POS ),8.0,0.00919540229885,"Break someone's heart

Call someone's bluff

Cover all one's bases

Hate someone's guts

Have a gentlemen's agreement

Pick someone's brain

Read someone's mind

Speak the same/someone's language
"
( VB xcomp JJ ) ( JJ nsubj NN ),7.0,0.00804597701149,"Bleed someone dry

Catch someone red-handed

Do someone proud

Drive someone crazy

Eat someone alive

Leave no stone unturned

Sell someone short
"
( NN cop VB ),7.0,0.00804597701149,"Be a basketcase

Be a breeze

Be a drag

Be a riot

Be all ears

Be an item

Be the bomb
"
( VB dobj NN ) ( NN nmod:poss PRP$ ),6.0,0.00689655172414,"Chance your luck

Cut your losses

Speak your mind

Take its toll

Take your pick

Watch your back
"
( VB dobj NN ) ( NN nmod NN ) ( NN case IN ) ( NN nmod:poss CD ) ( CD case POS ),6.0,0.00689655172414,"Have a chip on one's shoulder

Have a gleam in one's eye

Have a lot on one's plate

Have a lump in one's throat

Have something under one's belt

Have something up one's sleeve
"
( NNP nmod NN ) ( NN case IN ),5.0,0.00574712643678,"Dry as a bone

Hang in the balance

Roll with the punches

Sleep like a baby

Stay on track
"
( VB dobj NN ) ( VB nmod NN ) ( NN case TO ),5.0,0.00574712643678,"Bring something to the party

Mean the world to someone

Put something to bed

Throw caution to the wind

Throw someone to the dogs
"
( VB nmod NN ) ( NN case IN ) ( NN amod JJ ),5.0,0.00574712643678,"Do in cold blood

Look at the big picture

Put on a brave face

Sell like hot cakes

Vanish into thin air
"
( NN cop VB ) ( NN case IN ) ( NN amod JJ ),5.0,0.00574712643678,"Be in good company

Be in the hot seat

Be in the public eye

Be in the same ballpark

Be on a slippery slope
"
( NN amod JJ ),5.0,0.00574712643678,"Gather dust

No hard feelings

Pinch pennies

Tempt fate

Touch base
"
( VB dobj NN ) ( VB nmod NN ) ( NN case IN ) ( NN nmod:poss CD ) ( CD case POS ),5.0,0.00574712643678,"Do something in one's sleep

Feel something in one's bones

Say something under one's breath

Send a chill down one's spine

Take someone under one's wing
"
( VB compound:prt RP ) ( VB nmod NN ) ( NN case IN ) ( NN nmod:poss CD ) ( CD case POS ),5.0,0.00574712643678,"Blow up in one's face

Bored out of one's skull/mind

Come out of one's shell

Get back on one's feet

Go out of one's mind
"
( VB dobj NN ) ( NN nmod:poss CD ) ( CD case POS ) ( NN nmod NN ) ( NN case IN ),5.0,0.00574712643678,"Bury one's head in the sand

Have one's eye on something

Have one's foot in the door

Have one's head in the clouds

Throw one's hat in the ring
"
( VB dobj NN ) ( VB nmod NN ) ( NN case IN ) ( NN nmod:poss NN ) ( NN case POS ),4.0,0.00459770114943,"Keep someone at arm's length

Put words into someone's mouth

Say something behind someone's back

Wipe the grin off someone's face
"
( VB dobj NN ) ( NN nmod:poss CD ) ( CD case POS ) ( NN amod JJ ),4.0,0.00459770114943,"Dig one's own grave

Mind one's own business

Play one's last card

Show one's true colors
"
( VBG aux VB ) ( VBG nmod NN ) ( NN case IN ),4.0,0.00459770114943,"Be grasping at straws

Be icing on the cake

Be rolling in the aisles

Be sitting on a goldmine
"
( VB neg RB ) ( VB dobj NN ),4.0,0.00459770114943,"Not have a clue

Not lift a finger

Not say a word

Not sleep a wink
"
( VB dobj NN ) ( VB nmod NN ) ( NN case IN ) ( NN nmod:poss PRP$ ),4.0,0.00459770114943,"Get someone off your back

Keep someone on their toes

Put someone in their place

Take someone at their word
"
( NN cop VB ) ( NN case IN ) ( NN nmod NN ) ( NN case IN ),4.0,0.00459770114943,"Be at a loss for words

Be from all walks of life

Be like a slap in the face

Be on top of the world
"
( VB dobj NN ) ( NN nmod NN ) ( NN advmod RB ) ( NN case IN ),4.0,0.00459770114943,"Get a rise out of someone

Pull something out of a hat

Pull something out of the bag

Take a bite out of something
"
( VB nmod NN ) ( NN case IN ) ( NN nmod:poss NN ) ( NN case POS ),4.0,0.00459770114943,"Be/fall under someone's spell

Get on someone's nerves

Get under someone's skin

Tug at someone's heartstrings
"
( NN cop VB ) ( NN case IN ) ( NN nmod:poss NN ) ( NN case POS ),4.0,0.00459770114943,"Be at death's door

Be in someone's clutches

Be in the driver's seat

Be on someone's back
"
( NN cop VB ) ( NN nmod NN ) ( NN case IN ) ( NN amod JJ ),4.0,0.00459770114943,"Be a breath of fresh air

Be a chip off the old block

Be a sight for sore eyes

Be a step in the right direction
"
( VB compound:prt RP ) ( VB dobj NN ) ( NN amod JJ ),4.0,0.00459770114943,"Go off the deep end

Roll out the red carpet

Tie up loose ends

Turn over a new leaf
"
( NNP dep NN ),4.0,0.00459770114943,"Cross the line

Miss the boat

Miss the bus

Miss the point
"
( NN cop VB ) ( NN nmod:poss NN ) ( NN case POS ),4.0,0.00459770114943,"Be a ladies' man

Be a mamma's boy

Be anybody's guess

Be someone's baby
"
( VB dobj NN ) ( NN nmod:poss CD ) ( CD case POS ) ( VB advmod RB ),3.0,0.00344827586207,"Get one's act together

Put one's foot down

Take one's breath away
"
( VB dobj NN ) ( NN nmod:poss PRP$ ) ( VB compound:prt RP ),3.0,0.00344827586207,"Keep your head down

Let your hair down

Tear your hair out
"
( VB dobj NN ) ( VB advmod RB ),3.0,0.00344827586207,"Get something straight

Knock heads together

Meet someone halfway
"
( NN case IN ) ( NN amod JJ ),3.0,0.00344827586207,"In the eleventh hour

In the same breath

With bated breath
"
( NN cop VB ) ( NN case IN ) ( NN nmod NN ) ( NN case IN ) ( NN nmod:poss CD ) ( CD case POS ),3.0,0.00344827586207,"Be at the back of one's mind

Be on the edge of one's seat

Be on the tip of one's tongue
"
( NN cop VB ) ( NN case IN ) ( NN nmod:poss CD ) ( CD case POS ),3.0,0.00344827586207,"Be in one's blood

Be in one's element

Be off one's rocker
"
( VB dobj NN ) ( NN nmod:poss PRP$ ) ( VB nmod NN ) ( NN case IN ),3.0,0.00344827586207,"Put all your cards on the table

Set your heart on something

Turn your back on something
"
