verb,frequency,norm,pmi,samples
raise,7.0,0.318181818182,1.75093747471,"Raising one's eyebrows and giving a glassy stare
		Cocking the head while raising the eyebrows
		Raising the eyebrows and offering a questioning gaze
		Raising one's eyebrows
		A deliberate eyebrow raise and head tilt
		Raising the eyebrows
		Deliberately raised eyebrows
"
stroke,1.0,0.0454545454545,0.560387690714,"Stroking or rubbing an eyebrow
"
lift,1.0,0.0454545454545,0.507743957229,"Lifting a single eyebrow
"
Quirking,1.0,0.0454545454545,0.674798041892,"Quirking an eyebrow and smiling
"
