verb,frequency,norm,pmi,samples
lower,1.0,0.0243902439024,0.593865710979,"Shoulders are lowered and loose
"
used,1.0,0.0243902439024,0.651024124818,"Using a friend's shoulder as a shelf for your elbow
"
look,1.0,0.0243902439024,0.622036587945,"Always looking over the shoulder or around the next corner
"
limber,1.0,0.0243902439024,0.680877087968,"Limbering up shoulders and neck as if readying to fight
"
Violently,1.0,0.0243902439024,0.680877087968,"Violently rolling shoulders as if one's own clothing is creating discomfort
"
touch,1.0,0.0243902439024,0.46381258273,"Lightly touching a shoulder
"
lift,1.0,0.0243902439024,0.513823003305,"Lifting the shoulders as if to hide one's neck
"
elbow,1.0,0.0243902439024,0.680877087968,"Shoulders drawing up, elbows tucking into the sides
"
squeeze,1.0,0.0243902439024,0.56646673679,"Squeezing a shoulder or hand
"
