verb,frequency,norm,pmi,samples
rub,1.0,0.0625,0.302633038804,"Rubbing the jaw or back of the neck
"
scratch,1.0,0.0625,0.688295519616,"Scratching one's jaw
"
clench,1.0,0.0625,0.659307982742,"Clenching the jaw
"
