verb,frequency,norm,pmi,samples
touch,2.0,0.666666666667,0.906549085636,"Touching one's fingertips together
		Touching one's fingertips to one's lips
"
skim,1.0,0.333333333333,0.718148482765,"Skimming fingertips along the jaw line
"
