verb,freq_g,freq_t,rank_g,rank_t,sent_g,sent_t
bring,1.0,1.0,5,2,"and t' others are coming on as fast as their feet will bring them""","Narrowing one's stance, bringing the feet together
"
plant,1.0,1.0,5,2,planted his foot carefully and firmly,"Planting one's feet in a wide stance
"
