verb,freq_g,freq_t,rank_g,rank_t,sent_g,sent_t
compress,5.0,1.0,2,5,"compressing his well-cut lips while he did so
his lips compressed
and observe her lips compressed
his lips compressed
then I remarked that she compressed her lips and contracted her brow","Compressing the lips while someone else speaks
"
press,4.0,6.0,3,1,"pressing his lips on my lips
I pressed my lips to his once brilliant and now rayless eyesI
press my lips to what I loveto
to press their rosy lips with her own","Pressing the lips together

Gritting one's teeth, pressing the lips tight

Pressing lips together

Pressing the lips into a fine line

Lips pressed flat

Lip biting or pressing the lips together
"
press,4.0,1.0,3,5,"pressing his lips on my lips
I pressed my lips to his once brilliant and now rayless eyesI
press my lips to what I loveto
to press their rosy lips with her own","Compressing the lips while someone else speaks
"
part,3.0,2.0,4,4,"His lips parted
her lips parted
as her eyes closed and her rosy lips parted in coming sleep","Unconsciously parting the lips

Fingers touching parted lips
"
tremble,2.0,1.0,5,5,"the faintly-tinted lips trembled
Her lip trembled","Trembling lips and chin
"
wet,1.0,1.0,6,5,"wet the lip of the phial""","Wetting the lips
"
touch,1.0,1.0,6,5,it touched my lips in passing,"The tongue darting out to touch or lick the lips
"
bit,1.0,5.0,6,2,though he bit his lip from time to time,"Biting one's lip

Gently biting the lip

Biting the lip or nails

Biting the lip or inside of the cheek

Drawing the mouth into a straight line and biting the lip
"
