verb,freq_g,freq_t,rank_g,rank_t,sent_g,sent_t
turn,25.0,1.0,1,2,"I turned my face away to conceal a smile I could not suppress
turning her face rather from me
I turned my face away and put his aside
I turned his face from the cushion to me
Instinctively I turned my face again to the village
I turned my face aside from the lovely sky of eve and lonely vale of MortonI
his face turned to me
As he turned aside his face a minute
His face turned red with passion
and turned his face towards us
to turn my face away from the window
Her face was turned towards him
""let us turn our faces to the cool morning breeze
that God had turned His face from her
but he would turn his face to the wall
but she pushed him away and turned her face to the wall
he turned a joyful face toward the two lords in waiting
and whilst the lash was applied the poor little King turned away his face and allowed unroyal tears to channel his cheeks unchecked
I quitted the wall and once more turned my face towards X
Just then I turned my face a little to the light
turning his face in my direction one momentnot
on turning my face to the wall
and accordingly steadily turned my face to the sleeve of Dr
had turned his face towards the cliff
turning on her a face from which the tide of emotion had ebbed","Head tipping back, turning one's face to the sky
"
cover,6.0,1.0,5,2,"I covered my face with the bedclothes
and covering her face with her handkerchief
Miles Hendon sank into a chair and covered his face with his hands
and covered their faces with their hands
his face covered with his hands
and a genuine English blush covered his face with its warm witness of sincerity","Covering the face
"
hide,5.0,3.0,6,1,"and both creatures hid their faces in their paws
but the face was hid by the hangings
her face was hidden
but I would neither advise Harry nor others to believe too implicitly in the humility which one moment can hide its blushing face like a modest little child
I hid my face with the book","Using hair to hide one's face

Using the hair to hide the face

Hiding the face
"
run,1.0,1.0,10,2,The tears were running down her face as she turned into the linhay,"Scrunching up the face and then releasing, trying to regain calm
"
