verb,freq_g,freq_t,rank_g,rank_t,sent_g,sent_t
shake,34.0,10.0,1,1,"The Dormouse shook its head impatiently
The Hatter shook his head mournfully
The Knave shook his head sadly
Knightley shook his head at her
shaking his head and fixing his eyes on her with tender concernThe
But Emma still shook her head in steady scepticism
and she read it with a degree of pleasure and admiration which made her at first shake her head over her own sensations
at which Miss Miller shook her head disapprovingly
she shook her head at me
he was shaking his head and looking fierce
he shook his head when I expressed my hopes
and smiled and shook her head by turns
and he shook his head with a smile as he noticed my questioning glances
she gave a cry of hope which sank into a groan as she saw that my companion shook his head and shrugged his shoulders
I still shook my head and declared my intention of remaining where I was
shook his head solemnly
But Holmes shook his head gravely
shaking her head and heaving a deep sigh
and as she said them she shook her head slightly and sighed
Miss Helstone shook her head and sighed
Caroline shook her head gently
Thatcher shook her head feebly and turned paler than ever
and frowned and shook her head at Tom
then shook his head and muttered
then shook his head and said
when the Lord Protector shook his head and said
shook his head slowly
She shook her head expressively
I shook my head as implying a negative
The father shook his head with half a smile
She shook her head over his childishness
He shook his rough head as if the lights were dazzling him and
He shook his head over the word as something of which the meaning escaped him
he had said they ought to put their wishes into writing but she had shaken her bright head with ""Time enough yet""","Minutely shaking the head

A slight head shake

Shaking the head

Shaking one's head in denial

Slowly shaking one's head

A slow, disbelieving head shake

Shaking the head repeatedly

Shaking head and closing the eyes

Shaking the head in disapproval but not saying anything

Shaking one's head
"
jerk,2.0,1.0,11,5,"and jerking his head till his ears flapped again
now and then jerking his head around and casting a quick glance toward the bed","Jerking the head back
"
cock,2.0,5.0,11,3,"cocked his head on one side
cocked his head to one side and eyed the strangers with a consuming curiosity","Cocking one's head and then shaking it

Cocking the head

Cocking the head while raising the eyebrows

Cocking one's head to the side

Cocking or tilting the head
"
push,2.0,1.0,11,5,"pushed his head and shoulders through a small hole
by the time the head of the black serpent was pushing past St","The head pulling back as the shoulders push forward
"
prop,1.0,1.0,12,5,and had his head propped high on pillows,"Propping the head up with a fist
"
keep,1.0,1.0,12,5,it had kept my head and hands employed,"Sidelong glances while keeping the head still
"
lower,1.0,1.0,12,5,Lowering her large head she made a new charge,"Lowering one's head
"
