verb,frequency,norm,pmi,samples
move,3.0,0.214285714286,1.11944661539,Not a muscle of the man's frame moved		No muscle moved		no muscle in her rather marked features moved
work,2.0,0.142857142857,1.04948802679,and every muscle in it was working		wagging her white feathery tail as fast as the muscle would work
control,1.0,0.0714285714286,0.728580306707,to control the working muscles of my facewhich
sleep,1.0,0.0714285714286,0.758433269857,my muscles slept
blush,1.0,0.0714285714286,0.728580306707,I made an effort to blush that strained every muscle in me
