verb,frequency,norm,pmi,samples
clear,2.0,0.08,1.07849342702,"clearing his throat evidently for a speech of some importance""ahem		when a man cleared his throat not four feet from him"
respond,1.0,0.04,0.760039695905,every throat responded
except,1.0,0.04,0.730186732755,excepting a sore throat and headache
start,1.0,0.04,0.760039695905,and a hard piece of corn-crust started down my throat after it and got met on the road with a cough
go,1.0,0.04,0.542975190667,When she entered a room in which he sat his throat went dry
circle,1.0,0.04,0.673028318915,the trembling chainlet of gold circling her throat and quivering on her breast
